unext0_batchnorm0_gamma,arg:bn_data_gamma
unext0_stage2_batchnorm5_running_mean,aux:stage2_unit2_bn2_moving_mean
unext0_stage2_batchnorm5_running_var,aux:stage2_unit2_bn2_moving_var
unext0_stage2_conv6_weight,arg:stage2_unit2_conv3_weight
unext0_stage2_batchnorm6_gamma,arg:stage2_unit2_bn3_gamma
unext0_stage2_batchnorm6_beta,arg:stage2_unit2_bn3_beta
unext0_stage2_batchnorm6_running_mean,aux:stage2_unit2_bn3_moving_mean
unext0_stage2_batchnorm6_running_var,aux:stage2_unit2_bn3_moving_var
unext0_stage2_conv7_weight,arg:stage2_unit3_conv1_weight
unext0_stage2_batchnorm7_gamma,arg:stage2_unit3_bn1_gamma
unext0_stage2_batchnorm7_beta,arg:stage2_unit3_bn1_beta
unext0_stage2_batchnorm7_running_mean,aux:stage2_unit3_bn1_moving_mean
unext0_stage2_batchnorm7_running_var,aux:stage2_unit3_bn1_moving_var
unext0_stage2_conv8_weight,arg:stage2_unit3_conv2_weight
unext0_stage2_batchnorm8_gamma,arg:stage2_unit3_bn2_gamma
unext0_stage2_batchnorm8_beta,arg:stage2_unit3_bn2_beta
unext0_stage2_batchnorm8_running_mean,aux:stage2_unit3_bn2_moving_mean
unext0_stage2_batchnorm8_running_var,aux:stage2_unit3_bn2_moving_var
unext0_stage2_conv9_weight,arg:stage2_unit3_conv3_weight
unext0_stage2_batchnorm9_gamma,arg:stage2_unit3_bn3_gamma
unext0_stage2_batchnorm9_beta,arg:stage2_unit3_bn3_beta
unext0_stage2_batchnorm9_running_mean,aux:stage2_unit3_bn3_moving_mean
unext0_stage2_batchnorm9_running_var,aux:stage2_unit3_bn3_moving_var
unext0_stage2_conv10_weight,arg:stage2_unit4_conv1_weight
unext0_stage2_batchnorm10_gamma,arg:stage2_unit4_bn1_gamma
unext0_stage2_batchnorm10_beta,arg:stage2_unit4_bn1_beta
unext0_stage2_batchnorm10_running_mean,aux:stage2_unit4_bn1_moving_mean
unext0_stage2_batchnorm10_running_var,aux:stage2_unit4_bn1_moving_var
unext0_stage2_conv11_weight,arg:stage2_unit4_conv2_weight
unext0_stage2_batchnorm11_gamma,arg:stage2_unit4_bn2_gamma
unext0_stage2_batchnorm11_beta,arg:stage2_unit4_bn2_beta
unext0_stage2_batchnorm11_running_mean,aux:stage2_unit4_bn2_moving_mean
unext0_stage2_batchnorm11_running_var,aux:stage2_unit4_bn2_moving_var
unext0_stage2_conv12_weight,arg:stage2_unit4_conv3_weight
unext0_stage2_batchnorm12_gamma,arg:stage2_unit4_bn3_gamma
unext0_stage2_batchnorm12_beta,arg:stage2_unit4_bn3_beta
unext0_stage2_batchnorm12_running_mean,aux:stage2_unit4_bn3_moving_mean
unext0_stage2_batchnorm12_running_var,aux:stage2_unit4_bn3_moving_var
unext0_stage3_conv0_weight,arg:stage3_unit1_conv1_weight
unext0_stage3_batchnorm0_gamma,arg:stage3_unit1_bn1_gamma
unext0_stage3_batchnorm0_beta,arg:stage3_unit1_bn1_beta
unext0_stage3_batchnorm0_running_mean,aux:stage3_unit1_bn1_moving_mean
unext0_stage3_batchnorm0_running_var,aux:stage3_unit1_bn1_moving_var
unext0_stage3_conv1_weight,arg:stage3_unit1_conv2_weight
unext0_stage3_batchnorm1_gamma,arg:stage3_unit1_bn2_gamma
unext0_stage3_batchnorm1_beta,arg:stage3_unit1_bn2_beta
unext0_stage3_batchnorm1_running_mean,aux:stage3_unit1_bn2_moving_mean
unext0_stage3_batchnorm1_running_var,aux:stage3_unit1_bn2_moving_var
unext0_stage3_conv2_weight,arg:stage3_unit1_conv3_weight
unext0_stage3_batchnorm2_gamma,arg:stage3_unit1_bn3_gamma
unext0_stage3_batchnorm2_beta,arg:stage3_unit1_bn3_beta
unext0_stage3_batchnorm2_running_mean,aux:stage3_unit1_bn3_moving_mean
unext0_stage3_batchnorm2_running_var,aux:stage3_unit1_bn3_moving_var
unext0_stage3_conv3_weight,arg:stage3_unit1_sc_weight
unext0_stage3_batchnorm3_gamma,arg:stage3_unit1_sc_bn_gamma
unext0_stage3_batchnorm3_beta,arg:stage3_unit1_sc_bn_beta
unext0_stage3_batchnorm3_running_mean,aux:stage3_unit1_sc_bn_moving_mean
unext0_stage3_batchnorm3_running_var,aux:stage3_unit1_sc_bn_moving_var
unext0_stage3_conv4_weight,arg:stage3_unit2_conv1_weight
unext0_stage3_batchnorm4_gamma,arg:stage3_unit2_bn1_gamma
unext0_stage3_batchnorm4_beta,arg:stage3_unit2_bn1_beta
unext0_stage3_batchnorm4_running_mean,aux:stage3_unit2_bn1_moving_mean
unext0_stage3_batchnorm4_running_var,aux:stage3_unit2_bn1_moving_var
unext0_stage3_conv5_weight,arg:stage3_unit2_conv2_weight
unext0_stage3_batchnorm5_gamma,arg:stage3_unit2_bn2_gamma
unext0_stage3_batchnorm5_beta,arg:stage3_unit2_bn2_beta
